"Table 2c. Gonorrhoea diagnosis numbers and rates in England and regions by gender, sexual orientation and age group 2019 to 2023",,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,
"Some annual data (numbers and rates) refers to information that can be found on the Notes, caveats and glossary worksheet: 2020 [note 14], 2021 [note 14].",,,,,,,,,,,,,,,,,,,,,,,
"Some data labels refer to information that can be found on the Notes, caveats and glossary worksheet.",,,,,,,,,,,,,,,,,,,,,,,
Shorthand is used in this table. [x] = unavailable data and [c] = confidential data [note 15].,,,,,,,,,,,,,,,,,,,,,,,
"Rates are calculated per 100,000 population.",,,,,,,,,,,,,,,,,,,,,,,
Data type: residence data [note 3].,,,,,,,,,,,,,,,,,,,,,,,
Publication date: 4 June 2024.,,,,,,,,,,,,,,,,,,,,,,,
Area of residence,STI,Gender and sexual orientation,Age group ,2019 Numbers,2020 Numbers,2021 Numbers,2022 Numbers,2023 Numbers,"2019 
Rates","2020 
Rates","2021 
Rates","2022 
Rates","2023 
Rates",,,,,,,,,,
England,Gonorrhoea,Total,65 and over,387,239,257,523,558,3.8,2.3,2.5,4.9,5.2,,,,,,,,,,
England,Gonorrhoea,Total,Other,68,48,9,4,11,[x],[x],[x],[x],[x],,,,,,,,,,
England,Gonorrhoea,Total,Total,"71,133","50,678","49,321","79,268","85,223",126.5,90.0,87.2,138.8,149.2,,,,,,,,,,
London,Gonorrhoea,Men,13 to 14,0,4,0,3,2,0.0,3.8,0.0,2.7,1.8,,,,,,,,,,
London,Gonorrhoea,Men,15 to 19,997,641,530,705,640,413.3,260.1,209.9,272.2,247.1,,,,,,,,,,
London,Gonorrhoea,Men,20 to 24,"4,291","2,961","2,742","3,623","3,734","1,431.3","1,035.4",968.7,"1,231.4","1,269.1",,,,,,,,,,
London,Gonorrhoea,Men,25 to 34,"12,107","9,546","9,046","12,092","13,529","1,563.0","1,245.3","1,193.3","1,573.4","1,760.4",,,,,,,,,,
London,Gonorrhoea,Men,35 to 44,"5,990","5,098","5,095","6,584","7,753",851.6,730.5,754.8,985.8,"1,160.9",,,,,,,,,,
London,Gonorrhoea,Men,45 to 64,"3,203","2,624","2,685","3,404","3,829",318.7,258.4,263.2,332.3,373.8,,,,,,,,,,
London,Gonorrhoea,Men,65 and over,122,82,92,147,172,26.6,17.7,19.6,30.7,35.9,,,,,,,,,,
London,Gonorrhoea,Men,Other,2,4,0,1,1,[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,Men,Total,"26,712","20,960","20,190","26,559","29,660",617.4,486.6,473.0,617.3,689.3,,,,,,,,,,
London,Gonorrhoea,MSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,MSW,Total,"5,108","3,590","2,720","3,362","4,086",175.1,123.1,93.3,115.3,140.1,,,,,,,,,,
London,Gonorrhoea,GBMSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,GBMSM,Total,"20,546","16,113","15,558","21,247","23,542","13,275.8","10,411.4","10,052.8","13,728.7","15,211.6",,,,,,,,,,
London,Gonorrhoea,Women,13 to 14,15,9,8,6,7,15.4,9.0,7.7,5.7,6.6,,,,,,,,,,
London,Gonorrhoea,Women,15 to 19,"1,322",807,524,662,672,563.9,338.1,215.3,267.3,271.3,,,,,,,,,,
London,Gonorrhoea,Women,20 to 24,"1,851","1,278","1,039","1,521","1,619",567.9,415.8,342.9,486.3,517.6,,,,,,,,,,
London,Gonorrhoea,Women,25 to 34,"1,753","1,370","1,129","1,711","1,988",203.4,160.5,135.9,206.2,239.6,,,,,,,,,,
London,Gonorrhoea,Women,35 to 44,447,386,377,468,511,61.9,52.9,51.9,64.5,70.5,,,,,,,,,,
London,Gonorrhoea,Women,45 to 64,198,120,122,156,199,19.0,11.3,11.4,14.5,18.5,,,,,,,,,,
London,Gonorrhoea,Women,65 and over,7,2,2,6,9,1.2,0.3,0.3,1.0,1.5,,,,,,,,,,
London,Gonorrhoea,Women,Other,1,1,2,2,2,[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,Women,Total,"5,594","3,973","3,203","4,532","5,007",122.6,87.1,70.6,99.3,109.7,,,,,,,,,,
London,Gonorrhoea,WSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSM,Total,"4,989","3,468","2,604","3,757","4,206",152.0,105.7,79.4,114.5,128.2,,,,,,,,,,
London,Gonorrhoea,WSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,WSW,Total,134,134,184,301,251,359.8,359.8,494.1,808.3,674.0,,,,,,,,,,
London,Gonorrhoea,Total,13 to 14,15,13,8,10,9,7.5,6.4,3.8,4.6,4.2,,,,,,,,,,
London,Gonorrhoea,Total,15 to 19,"2,341","1,460","1,075","1,412","1,361",492.2,301.0,216.8,278.7,268.6,,,,,,,,,,
London,Gonorrhoea,Total,20 to 24,"6,213","4,289","3,855","5,261","5,470",992.9,722.9,657.8,866.7,901.1,,,,,,,,,,
London,Gonorrhoea,Total,25 to 34,"13,977","11,012","10,300","14,045","15,800",854.1,679.7,648.2,878.8,988.6,,,,,,,,,,
London,Gonorrhoea,Total,35 to 44,"6,507","5,535","5,521","7,121","8,340",456.5,387.8,393.9,511.2,598.7,,,,,,,,,,
London,Gonorrhoea,Total,45 to 64,"3,440","2,757","2,829","3,599","4,064",167.9,132.9,135.3,171.2,193.3,,,,,,,,,,
London,Gonorrhoea,Total,65 and over,133,84,96,156,184,12.9,8.1,9.1,14.6,17.2,,,,,,,,,,
London,Gonorrhoea,Total,Other,5,5,2,3,4,[x],[x],[x],[x],[x],,,,,,,,,,
London,Gonorrhoea,Total,Total,"32,631","25,155","23,686","31,607","35,232",367.1,283.7,269.0,356.5,397.4,,,,,,,,,,
East of England,Gonorrhoea,Men,13 to 14,0,0,0,2,0,0.0,0.0,0.0,2.4,0.0,,,,,,,,,,
East of England,Gonorrhoea,Men,15 to 19,223,156,111,244,256,121.5,84.0,58.9,128.2,134.5,,,,,,,,,,
East of England,Gonorrhoea,Men,20 to 24,690,508,361,668,764,378.8,280.8,197.1,368.4,421.4,,,,,,,,,,
East of England,Gonorrhoea,Men,25 to 34,964,773,727,"1,041","1,141",234.1,188.0,175.2,249.9,274.0,,,,,,,,,,
East of England,Gonorrhoea,Men,35 to 44,400,344,355,455,519,96.1,82.1,83.5,105.3,120.1,,,,,,,,,,
East of England,Gonorrhoea,Men,45 to 64,332,233,253,331,390,39.4,27.5,29.7,38.8,45.7,,,,,,,,,,
East of England,Gonorrhoea,Men,65 and over,23,15,14,23,34,4.0,2.6,2.4,3.8,5.7,,,,,,,,,,
East of England,Gonorrhoea,Men,Other,8,2,0,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,Men,Total,"2,640","2,031","1,821","2,764","3,104",82.0,62.9,55.9,84.2,94.5,,,,,,,,,,
East of England,Gonorrhoea,MSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,MSW,Total,"1,110",795,620,975,"1,085",47.0,33.6,26.2,41.3,45.9,,,,,,,,,,
East of England,Gonorrhoea,GBMSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,GBMSM,Total,"1,482","1,175","1,128","1,708","1,897","2,651.3","2,102.0","2,018.0","3,055.6","3,393.7",,,,,,,,,,
East of England,Gonorrhoea,Women,13 to 14,5,2,0,2,1,6.8,2.7,0.0,2.5,1.2,,,,,,,,,,
East of England,Gonorrhoea,Women,15 to 19,374,211,122,280,348,216.1,120.8,69.2,157.9,196.3,,,,,,,,,,
East of England,Gonorrhoea,Women,20 to 24,529,394,233,472,458,297.9,226.1,133.4,279.0,270.7,,,,,,,,,,
East of England,Gonorrhoea,Women,25 to 34,395,283,259,311,339,91.7,65.6,59.4,71.6,78.0,,,,,,,,,,
East of England,Gonorrhoea,Women,35 to 44,116,96,88,86,127,26.8,21.9,19.7,18.8,27.7,,,,,,,,,,
